,away,bet.result,betting.opportunity,bookie,day,game.result,home,month,outcome,predicted.bookie.rank,predicted.run.rank,predicted.runs,the.bet,year,date
1,CIN,-100,3.0,8.5,9,UNDER,OAK,5,3.0,2.0,5.0,9.849245036109071,OVER,2019,2019-05-09
2,CWS,-100,1.0,9.0,9,UNDER,CLE,5,5.0,5.0,6.0,9.881350619622005,OVER,2019,2019-05-09
3,SEA,100,1.0,9.0,9,UNDER,NYY,5,4.0,5.0,4.0,9.792417699099767,UNDER,2019,2019-05-09
4,PIT,100,1.0,8.5,9,OVER,STL,5,21.0,2.0,3.0,9.760470899450473,OVER,2019,2019-05-09
5,MIA,-100,0.0,10.0,9,UNDER,CHC,5,5.0,8.0,8.0,10.4298573035013,OVER,2019,2019-05-09
6,ATL,-100,0.0,8.5,9,UNDER,ARI,5,5.0,2.0,2.0,8.681398045928823,OVER,2019,2019-05-09
7,SF,100,0.0,9.5,9,OVER,COL,5,23.0,7.0,7.0,10.389799359037278,OVER,2019,2019-05-09
0,KC,100,12.5,9.5,8,UNDER,HOU,5,9.0,14.5,2.0,8.912935179528024,UNDER,2019,2019-05-08
1,MIA,-100,11.5,8.0,8,UNDER,CHC,5,5.0,3.5,15.0,10.566692050696213,OVER,2019,2019-05-08
2,MIN,-100,9.0,9.0,8,OVER,TOR,5,10.0,12.0,3.0,9.141997780384967,UNDER,2019,2019-05-08
3,LAA,100,5.5,8.0,8,OVER,DET,5,13.0,3.5,9.0,9.662190262282527,OVER,2019,2019-05-08
4,BOS,-100,5.0,8.5,8,UNDER,BAL,5,3.0,8.0,13.0,10.175363184916408,OVER,2019,2019-05-08
5,ATL,100,4.5,8.0,8,OVER,LAD,5,13.0,3.5,8.0,9.644332798301948,OVER,2019,2019-05-08
6,PHI,100,4.0,8.5,8,UNDER,STL,5,5.0,8.0,4.0,9.20134635528968,UNDER,2019,2019-05-08
7,CWS,-100,4.0,8.5,8,UNDER,CLE,5,8.0,8.0,12.0,10.004332015162248,OVER,2019,2019-05-08
8,NYM,-100,3.5,8.0,8,UNDER,SD,5,5.0,3.5,7.0,9.606009143913854,OVER,2019,2019-05-08
9,WSH,-100,3.0,8.5,8,OVER,MIL,5,10.0,8.0,5.0,9.32130450567494,UNDER,2019,2019-05-08
10,CIN,-100,2.0,8.5,8,OVER,OAK,5,9.0,8.0,6.0,9.485039875458348,UNDER,2019,2019-05-08
11,TEX,-100,2.0,9.0,8,OVER,PIT,5,15.0,12.0,10.0,9.757959647027,UNDER,2019,2019-05-08
12,SEA,-100,1.0,9.0,8,OVER,NYY,5,11.0,12.0,11.0,9.86040907443526,UNDER,2019,2019-05-08
13,SF,0,0.5,9.5,8,PUSH,COL,5,9.5,14.5,14.0,10.34499257126944,UNDER,2019,2019-05-08
14,ARI,-100,0.0,7.5,8,UNDER,TB,5,5.0,1.0,1.0,8.732352393757054,OVER,2019,2019-05-08
0,HOU,100,10.0,10.0,15,UNDER,DET,5,6.0,13.0,3.0,9.11092380376883,UNDER,2019,2019-05-15
1,NYM,-100,9.0,8.0,15,UNDER,WSH,5,6.0,4.0,13.0,10.368033460439024,OVER,2019,2019-05-15
2,SD,-100,5.0,7.5,15,UNDER,LAD,5,2.0,2.0,7.0,9.796873595489325,OVER,2019,2019-05-15
3,MIL,100,4.5,9.0,15,UNDER,PHI,5,7.0,6.5,2.0,8.94321957801538,UNDER,2019,2019-05-15
4,LAA,-100,4.5,9.5,15,OVER,MIN,5,15.0,10.5,6.0,9.736308278446957,UNDER,2019,2019-05-15
5,CHC,100,3.5,9.0,15,OVER,CIN,5,11.0,6.5,10.0,10.044495028450708,OVER,2019,2019-05-15
6,PIT,100,2.0,7.5,15,OVER,ARI,5,12.0,2.0,4.0,9.488234123119431,OVER,2019,2019-05-15
7,BAL,-100,1.5,9.0,15,UNDER,NYY,5,8.0,6.5,8.0,9.869868741276123,OVER,2019,2019-05-15
8,BAL,100,1.5,9.5,15,UNDER,NYY,5,4.0,10.5,9.0,10.04235146129856,UNDER,2019,2019-05-15
9,TEX,-100,1.5,9.5,15,UNDER,KC,5,7.0,10.5,12.0,10.240077780390124,OVER,2019,2019-05-15
10,COL,-100,1.5,9.0,15,OVER,BOS,5,11.0,6.5,5.0,9.723487652219598,UNDER,2019,2019-05-15
11,TB,100,1.0,7.5,15,UNDER,MIA,5,1.0,2.0,1.0,8.702600807644027,UNDER,2019,2019-05-15
12,STL,-100,0.5,9.5,15,UNDER,ATL,5,4.0,10.5,11.0,10.128818403243812,OVER,2019,2019-05-15
0,MIA,-100,4.5,7.5,25,UNDER,PHI,4,4.0,2.5,7.0,10.698916631479227,OVER,2019,2019-04-25
1,DET,-100,3.0,9.5,25,OVER,BOS,4,10.0,7.0,4.0,10.363656385763315,UNDER,2019,2019-04-25
2,NYY,-100,2.0,8.0,25,OVER,LAA,4,16.0,4.0,2.0,9.717235504270539,UNDER,2019,2019-04-25
3,ARI,-100,2.0,7.0,25,UNDER,PIT,4,5.0,1.0,3.0,9.928658216091893,OVER,2019,2019-04-25
4,CLE,100,1.5,7.5,25,UNDER,HOU,4,3.0,2.5,1.0,8.703532285402991,UNDER,2019,2019-04-25
5,LAD,-100,1.0,8.5,25,UNDER,CHC,4,3.0,5.0,6.0,10.658887486166511,OVER,2019,2019-04-25
6,ATL,100,1.0,9.0,25,UNDER,CIN,4,6.0,6.0,5.0,10.544109774377153,UNDER,2019,2019-04-25
